,%_GPST,UTC,latitude(deg),longitude(deg),height(m),x,y,Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio,sd(m),dist(m),deltay(m),deltax(m),deltaz(m)
0,2181 28636.000,2021-10-24 07:57:02,-33.951399814,18.468541443,75.3197,266063.3791478758,6240345.333546607,6,5,11.7495,6.4614,24.7625,-5.9319,8.4114,-15.8843,0.0,0.0,33.92980873096693,9.172519941584138,,,
1,2181 28637.000,2021-10-24 07:57:03,-33.951394317,18.468545825,74.9708,266063.7691413792,6240345.953265056,6,5,8.695,4.6486,18.4774,-4.4134,6.2896,-11.8775,0.0,0.0,25.273286127648696,9.716814872855384,,,
2,2181 28638.000,2021-10-24 07:57:04,-33.951394802,18.468547924,75.3525,266063.9644898705,6240345.904260395,6,5,7.2136,3.8191,15.3726,-3.6679,5.2355,-9.8877,0.0,0.0,21.01354188327137,9.34393128049298,,,
3,2181 28639.000,2021-10-24 07:57:05,-33.951400226,18.46854973,76.167,266064.1462816328,6240345.306762163,6,5,6.2957,3.3176,13.4353,-3.2037,4.5762,-8.6436,0.0,0.0,18.35937677128502,8.339308172192789,,,
4,2181 28640.000,2021-10-24 07:57:06,-33.951402614,18.468550781,75.9947,266064.2499704753,6240345.044288318,6,5,5.6549,2.9725,12.0779,-2.8789,4.1136,-7.7708,0.0,0.0,16.501043042183728,8.378133420195644,,,
5,2181 28641.000,2021-10-24 07:57:07,-33.951405025,18.46855042,75.615,266064.2232046787,6240344.776040684,6,5,5.1744,2.7164,11.0576,-2.635,3.7655,-7.1141,0.0,0.0,15.104846776448943,8.622093610274504,,,
6,2181 28642.000,2021-10-24 07:57:08,-33.951405476,18.468549574,75.5881,266064.146240195,6240344.724085724,6,5,4.7965,2.5165,10.2537,-2.4428,3.491,-6.5964,0.0,0.0,14.005155978781529,8.630255505510725,,,
7,2181 28643.000,2021-10-24 07:57:09,-33.951405465,18.468548667,75.7441,266064.0623719068,6240344.723235734,6,5,4.4888,2.3548,9.5984,-2.2863,3.267,-6.174,0.0,0.0,13.10886813306168,8.488459736003772,,,
8,2181 28644.000,2021-10-24 07:57:10,-33.951402657,18.46854859,75.2778,266064.04756407405,6240345.034518213,6,5,4.2317,2.2205,9.0502,-2.1553,3.0795,-5.8204,0.0,0.0,12.359195753769741,9.037982135380338,,,
9,2181 28645.000,2021-10-24 07:57:11,-33.951402276,18.468548719,75.2727,266064.0584446767,6240345.07707246,6,5,4.0124,2.1065,8.5823,-2.0436,2.9194,-5.5185,0.0,0.0,11.719454290622922,9.058620006350708,,,
10,2181 28646.000,2021-10-24 07:57:12,-33.951402263,18.468548163,75.198,266064.00701544597,6240345.0772454105,6,5,3.8223,2.0083,8.1763,-1.9466,2.7803,-5.2563,0.0,0.0,11.164369091444442,9.129860770218267,,,
11,2181 28647.000,2021-10-24 07:57:13,-33.951403639,18.468547366,75.4049,266063.9371135866,6240344.922802975,6,5,3.6553,1.9223,7.8194,-1.8614,2.6579,-5.0257,0.0,0.0,10.67644016514868,8.883719078448115,,,
12,2181 28648.000,2021-10-24 07:57:14,-33.951403521,18.468546493,75.4072,266063.8560950275,6240344.933898829,6,5,3.5069,1.8464,7.502,-1.7856,2.5491,-4.8205,0.0,0.0,10.242609188580808,8.890825258650311,,,
13,2181 28649.000,2021-10-24 07:57:15,-33.951404352,18.468546157,75.6332,266063.82731289987,6240344.8409589585,6,5,3.3737,1.7785,7.2171,-1.7175,2.4512,-4.6362,0.0,0.0,9.853120545289192,8.64903966895708,,,
14,2181 28650.000,2021-10-24 07:57:16,-33.951404346,18.468545909,75.5963,266063.8043726919,6240344.841058446,6,5,3.2533,1.7175,6.9593,-1.6559,2.3626,-4.4692,0.0,0.0,9.500697650172853,8.68480943808693,,,
15,2181 28651.000,2021-10-24 07:57:17,-33.951405655,18.468546639,75.6882,266063.8754349428,6240344.697532678,6,5,3.1435,1.6621,6.7242,-1.5998,2.2817,-4.3169,0.0,0.0,9.179334117461899,8.541347986701297,,,
16,2181 28652.000,2021-10-24 07:57:18,-33.951406259,18.468546988,75.8015,266063.90934880817,6240344.631334642,6,5,3.0429,1.6116,6.5086,-1.5483,2.2075,-4.1771,0.0,0.0,8.8846396933134,8.409726595620542,,,
17,2181 28653.000,2021-10-24 07:57:19,-33.951405925,18.468547365,75.7466,266063.94328190514,6240344.669241756,6,5,2.9501,1.5653,6.3097,-1.5008,2.139,-4.0481,0.0,0.0,8.612804621027927,8.472468983477846,,,
18,2181 28654.000,2021-10-24 07:57:20,-33.951405955,18.468547345,75.7832,266063.9415153762,6240344.665868565,6,5,2.8641,1.5226,6.1253,-1.4567,2.0754,-3.9283,0.0,0.0,8.360710532006236,8.437359737741213,,,
19,2181 28655.000,2021-10-24 07:57:21,-33.951407351,18.468547724,76.0788,266063.9803713575,6240344.51189181,6,5,2.7841,1.483,5.9536,-1.4157,2.0161,-3.8168,0.0,0.0,8.126049637431462,8.104195342215496,,,
20,2181 28656.000,2021-10-24 07:57:22,-33.951407849,18.468547431,76.1273,266063.95465191803,6240344.455985832,6,5,2.7094,1.4462,5.7931,-1.3773,1.9607,-3.7124,0.0,0.0,7.906678439774821,8.040390745503657,,,
21,2181 28657.000,2021-10-24 07:57:23,-33.951408197,18.468547509,76.2136,266063.9628148953,6240344.4175643325,6,5,2.6392,1.4119,5.6426,-1.3413,1.9086,-3.6145,0.0,0.0,7.700923510203175,7.945723005663763,,,
22,2181 28658.000,2021-10-24 07:57:24,-33.951408454,18.468547737,76.3543,266063.98459383426,6240344.389578737,6,5,2.5733,1.3798,5.5009,-1.3074,1.8596,-3.5222,0.0,0.0,7.507257921505028,7.803353025939234,,,
23,2181 28659.000,2021-10-24 07:57:25,-33.951408344,18.468547305,76.2984,266063.94436083676,6240344.400793763,6,5,2.511,1.3496,5.3671,-1.2754,1.8133,-3.435,0.0,0.0,7.324358717321265,7.8619016185848,,,
24,2181 28660.000,2021-10-24 07:57:26,-33.951407633,18.468547174,76.1491,266063.930304665,6240344.479357595,6,5,2.4521,1.3212,5.2405,-1.2451,1.7694,-3.3524,0.0,0.0,7.151282418559625,8.030082699078768,,,
25,2181 28661.000,2021-10-24 07:57:27,-33.951407708,18.468547345,76.2786,266063.94631638273,6240344.471429013,6,5,2.3963,1.2945,5.1204,-1.2164,1.7277,-3.274,0.0,0.0,6.987140498802067,7.9058908337183595,,,
26,2181 28662.000,2021-10-24 07:57:28,-33.951408198,18.468547348,76.3672,266063.94793566765,6240344.417085956,6,5,2.3432,1.2691,5.0061,-1.1891,1.688,-3.1993,0.0,0.0,6.830890246519848,7.803630804783607,,,
27,2181 28663.000,2021-10-24 07:57:29,-33.951408773,18.468547407,76.478,266063.9549640815,6240344.353442668,6,5,2.2926,1.2451,4.8973,-1.163,1.6501,-3.1281,0.0,0.0,6.682083857600113,7.677054785845598,,,
28,2181 28664.000,2021-10-24 07:57:30,-33.951409369,18.468547608,76.5624,266063.97517571854,6240344.28779419,6,5,2.2443,1.2223,4.7933,-1.1381,1.6139,-3.0601,0.0,0.0,6.539937423248023,7.573538830206968,,,
29,2181 28665.000,2021-10-24 07:57:31,-33.95140978,18.468547807,76.6987,266063.99469581945,6240344.24266101,6,5,2.1981,1.2006,4.6939,-1.1143,1.5793,-2.995,0.0,0.0,6.404034600156374,7.429201303067082,,,
30,2181 28666.000,2021-10-24 07:57:32,-33.951409532,18.468547477,76.6531,266063.96351320343,6240344.269415541,6,5,2.1539,1.1799,4.5987,-1.0915,1.5461,-2.9326,0.0,0.0,6.273868912401661,7.483249281517164,,,
31,2181 28667.000,2021-10-24 07:57:33,-33.951409824,18.468547363,76.6362,266063.95377537335,6240344.236767247,6,5,2.1115,1.1602,4.5073,-1.0696,1.5141,-2.8726,0.0,0.0,6.148871710322147,7.487900556527786,,,
32,2181 28668.000,2021-10-24 07:57:34,-33.951409836,18.468547126,76.6359,266063.9319012444,6240344.23489531,6,5,2.0707,1.1413,4.4195,-1.0485,1.4834,-2.8149,0.0,0.0,6.028750637569943,7.488990031185178,,,
33,2181 28669.000,2021-10-24 07:57:35,-33.951410521,18.4685474,76.7788,266063.9591043525,6240344.159541728,6,5,2.0316,1.1232,4.335,-1.0283,1.4539,-2.7594,0.0,0.0,5.91326612457109,7.327148453640394,,,
34,2181 28670.000,2021-10-24 07:57:36,-33.951411543,18.468547412,77.0345,266063.96301255724,6240344.046210747,6,5,1.9938,1.1059,4.2536,-1.0087,1.4254,-2.7059,0.0,0.0,5.801939492100896,7.04826890045885,,,
35,2181 28671.000,2021-10-24 07:57:37,-33.95141218,18.468547157,77.2278,266063.9411863179,6240343.974973874,6,5,1.9574,1.0893,4.1752,-0.9899,1.3979,-2.6543,0.0,0.0,5.694700975468335,6.844353781520352,,,
36,2181 28672.000,2021-10-24 07:57:38,-33.951412601,18.46854676,77.3431,266063.9056428019,6240343.927371232,6,5,1.9223,1.0733,4.0994,-0.9717,1.3713,-2.6044,0.0,0.0,5.5910512857601296,6.722800652067747,,,
37,2181 28673.000,2021-10-24 07:57:39,-33.951412989,18.468546896,77.4813,266063.9192765341,6240343.884645382,6,5,1.8884,1.058,4.0262,-0.9541,1.3456,-2.5561,0.0,0.0,5.490928735651192,6.577786583746139,,,
38,2181 28674.000,2021-10-24 07:57:40,-33.951413423,18.468547098,77.5773,266063.93913692946,6240343.83696793,6,5,1.8556,1.0432,3.9555,-0.9371,1.3207,-2.5094,0.0,0.0,5.3941626884994855,6.469895065883681,,,
39,2181 28675.000,2021-10-24 07:57:41,-33.951414035,18.468547035,77.7677,266063.9349896596,6240343.768942222,6,5,1.8239,1.0289,3.887,-0.9207,1.2965,-2.4641,0.0,0.0,5.300415546917053,6.268723385238125,,,
40,2181 28676.000,2021-10-24 07:57:42,-33.951414446,18.468547315,77.8484,266063.9619969599,6240343.723993911,6,5,1.7931,1.0152,3.8206,-0.9047,1.2731,-2.4203,0.0,0.0,5.209600829238264,6.175497050445884,,,
41,2181 28677.000,2021-10-24 07:57:43,-33.951414683,18.468547272,77.9151,266063.9586713542,6240343.697608164,6,5,1.7633,1.0019,3.7563,-0.8893,1.2504,-2.3777,0.0,0.0,5.1215849236344795,6.104271781103945,,,
42,2181 28678.000,2021-10-24 07:57:44,-33.951414808,18.468547222,77.9595,266063.95439196844,6240343.683629274,6,5,1.7344,0.9891,3.6939,-0.8742,1.2284,-2.3364,0.0,0.0,5.036200605615308,6.0582876424275645,,,
43,2181 28679.000,2021-10-24 07:57:45,-33.951415253,18.468547387,78.1112,266063.97086241026,6240343.634647277,6,5,1.7064,0.9767,3.6333,-0.8597,1.2069,-2.2962,0.0,0.0,4.9532654764306745,5.89823750707695,,,
44,2181 28680.000,2021-10-24 07:57:46,-33.951415992,18.46854759,78.3098,266063.99165055464,6240343.553142067,6,5,1.6791,0.9647,3.5744,-0.8455,1.1861,-2.2572,0.0,0.0,4.872680326062854,5.682684496775271,,,
45,2181 28681.000,2021-10-24 07:57:47,-33.951416334,18.468547525,78.4011,266063.98657895636,6240343.5150597,6,5,1.6526,0.9531,3.5173,-0.8317,1.1658,-2.2192,0.0,0.0,4.794428936797374,5.584571327400703,,,
46,2181 28682.000,2021-10-24 07:57:48,-33.95141665,18.468547681,78.4692,266064.00186418963,6240343.480365604,6,5,1.6269,0.9419,3.4617,-0.8183,1.1461,-2.1823,0.0,0.0,4.7183619509317,5.507643268072077,,,
47,2181 28683.000,2021-10-24 07:57:49,-33.951416975,18.468547835,78.561,266064.0169892025,6240343.444668681,6,5,1.6019,0.931,3.4076,-0.8053,1.1269,-2.1463,0.0,0.0,4.644308103474618,5.408260043271116,,,
48,2181 28684.000,2021-10-24 07:57:50,-33.951417014,18.46854777,78.6135,266064.0110877664,6240343.440194519,6,5,1.5775,0.9204,3.3549,-0.7926,1.1081,-2.1112,0.0,0.0,4.572117915146109,5.358153069794915,,,
49,2181 28685.000,2021-10-24 07:57:51,-33.951417312,18.468547742,78.7204,266064.0093157424,6240343.407077,6,5,1.5538,0.9101,3.3036,-0.7802,1.0899,-2.0771,0.0,0.0,4.5019204646461715,5.246963355544509,,,
50,2181 28686.000,2021-10-24 07:57:52,-33.951417883,18.468547751,78.8391,266064.01171147265,6240343.343763264,6,5,1.5306,0.9001,3.2537,-0.7681,1.0721,-2.0438,0.0,0.0,4.43350589488725,5.113875816804218,,,
51,2181 28687.000,2021-10-24 07:57:53,-33.951417961,18.468547909,78.874,266064.02652975556,6240343.33547226,6,5,1.5081,0.8904,3.205,-0.7564,1.0547,-2.0113,0.0,0.0,4.366813885431803,5.077156074441676,,,
52,2181 28688.000,2021-10-24 07:57:54,-33.951418438,18.468548235,78.9291,266064.0579698012,6240343.283308338,6,5,1.4861,0.881,3.1576,-0.7449,1.0377,-1.9796,0.0,0.0,4.301814202170986,5.005071860294925,,,
53,2181 28689.000,2021-10-24 07:57:55,-33.951418416,18.468548073,78.9056,266064.04293514974,6240343.285378797,6,5,1.4647,0.8718,3.1113,-0.7337,1.0211,-1.9487,0.0,0.0,4.238391394149437,5.028973598587539,,,
54,2181 28690.000,2021-10-24 07:57:56,-33.951418587,18.468548324,78.9556,266064.06660454907,6240343.266984659,6,5,1.4438,0.8629,3.0661,-0.7228,1.005,-1.9184,0.0,0.0,4.176463511153905,4.973999342708505,,,
55,2181 28691.000,2021-10-24 07:57:57,-33.951418614,18.468548323,78.9668,266064.06658606057,6240343.263987587,6,5,1.4234,0.8542,3.0221,-0.7121,0.9892,-1.8889,0.0,0.0,4.1161097980982,4.962486539930658,,,
56,2181 28692.000,2021-10-24 07:57:58,-33.951419063,18.468548445,79.0797,266064.0790927703,6240343.214463774,6,5,1.4035,0.8458,2.9791,-0.7017,0.9737,-1.8601,0.0,0.0,4.057175531080705,4.8388565329921995,,,
57,2181 28693.000,2021-10-24 07:57:59,-33.951419367,18.468548393,79.1981,266064.07511874894,6240343.180625969,6,5,1.3841,0.8375,2.9371,-0.6916,0.9586,-1.8319,0.0,0.0,3.999597179716978,4.716709843704811,,,
58,2181 28694.000,2021-10-24 07:58:00,-33.951419546,18.468548168,79.2407,266064.0548112064,6240343.160258088,6,5,1.3651,0.8295,2.896,-0.6816,0.9438,-1.8044,0.0,0.0,3.9432956546523363,4.6715251085930465,,,
59,2181 28695.000,2021-10-24 07:58:01,-33.951419705,18.468548234,79.2965,266064.06134734664,6240343.142772732,6,5,1.3465,0.8217,2.856,-0.6719,0.9294,-1.7775,0.0,0.0,3.888409618340125,4.6127693716136315,,,
60,2181 28696.000,2021-10-24 07:58:02,-33.951420181,18.46854855,79.4268,266064.0918603075,6240343.090696907,6,5,1.3284,0.814,2.8168,-0.6624,0.9152,-1.7511,0.0,0.0,3.8346213385417864,4.470485869820328,,,
61,2181 28697.000,2021-10-24 07:58:03,-33.951420722,18.468548524,79.5423,266064.0909386653,6240343.030630836,6,5,1.3107,0.8066,2.7785,-0.6531,0.9014,-1.7253,0.0,0.0,3.7821054929761013,4.341937048678818,,,
62,2181 28698.000,2021-10-24 07:58:04,-33.951421332,18.468548541,79.6587,266064.09418068256,6240342.963009551,6,5,1.2933,0.7993,2.7411,-0.644,0.8878,-1.7001,0.0,0.0,3.730737117514446,4.209777915264586,,,
63,2181 28699.000,2021-10-24 07:58:05,-33.951421516,18.468548464,79.7212,266064.0875671491,6240342.942424867,6,5,1.2764,0.7922,2.7045,-0.6351,0.8746,-1.6754,0.0,0.0,3.6805353387788577,4.144798763856324,,,
64,2181 28700.000,2021-10-24 07:58:06,-33.951421854,18.468548746,79.7896,266064.114559388,6240342.905578149,6,5,1.2598,0.7853,2.6687,-0.6264,0.8616,-1.6513,0.0,0.0,3.6314287863043657,4.066035824523052,,,
65,2181 28701.000,2021-10-24 07:58:07,-33.951422047,18.46854897,79.8785,266064.1357933058,6240342.884682188,6,5,1.2436,0.7785,2.6337,-0.6179,0.8488,-1.6276,0.0,0.0,3.5833395750333237,3.973824516995514,,,
66,2181 28702.000,2021-10-24 07:58:08,-33.951421976,18.468549164,79.8724,266064.1535311601,6240342.893000154,6,5,1.2277,0.7719,2.5994,-0.6095,0.8364,-1.6044,0.0,0.0,3.5362567539702208,3.9809696206045855,,,
67,2181 28703.000,2021-10-24 07:58:09,-33.951422152,18.468549315,79.9439,266064.16797079635,6240342.87382319,6,5,1.2121,0.7654,2.5659,-0.6014,0.8241,-1.5817,0.0,0.0,3.4901954157324773,3.906319708523977,,,
68,2181 28704.000,2021-10-24 07:58:10,-33.951422261,18.468549462,79.9686,266064.18185719877,6240342.862068614,6,5,1.1969,0.759,2.5331,-0.5934,0.8122,-1.5595,0.0,0.0,3.4451529530631877,3.8781989508474233,,,
69,2181 28705.000,2021-10-24 07:58:11,-33.951422339,18.468549543,79.9726,266064.18955801957,6240342.853601867,6,5,1.182,0.7529,2.5009,-0.5855,0.8004,-1.5377,0.0,0.0,3.4009491204662265,3.871091841073476,,,
70,2181 28706.000,2021-10-24 07:58:12,-33.951422356,18.468549537,79.9873,266064.1890499708,6240342.851702563,6,5,1.1674,0.7468,2.4695,-0.5778,0.7889,-1.5164,0.0,0.0,3.357774301527725,3.8566677552202235,,,
71,2181 28707.000,2021-10-24 07:58:13,-33.951422623,18.468549727,80.0616,266064.2073437794,6240342.822521059,6,5,1.1531,0.7409,2.4386,-0.5703,0.7776,-1.4954,0.0,0.0,3.315338201450947,3.7758600562481432,,,
72,2181 28708.000,2021-10-24 07:58:14,-33.95142303,18.468549952,80.1458,266064.22925622086,6240342.777890892,6,5,1.1391,0.735,2.4085,-0.5629,0.7665,-1.4749,0.0,0.0,3.2738898469557585,3.6804493441001194,,,
73,2181 28709.000,2021-10-24 07:58:15,-33.95142316,18.468549996,80.1891,266064.23367937707,6240342.7635719525,6,5,1.1254,0.7294,2.3789,-0.5557,0.7556,-1.4548,0.0,0.0,3.23324784388701,3.6346675756470255,,,
74,2181 28710.000,2021-10-24 07:58:16,-33.951423328,18.468550049,80.2102,266064.23903851624,6240342.745058665,6,5,1.112,0.7238,2.35,-0.5486,0.745,-1.4351,0.0,0.0,3.193497989665878,3.608384815126702,,,
75,2181 28711.000,2021-10-24 07:58:17,-33.951423421,18.468550163,80.2735,266064.24983075814,6240342.735003462,6,5,1.0988,0.7183,2.3216,-0.5417,0.7345,-1.4157,0.0,0.0,3.1544062071965304,3.5447856691524904,,,
76,2181 28712.000,2021-10-24 07:58:18,-33.951423518,18.468550212,80.2879,266064.2546257089,6240342.724356236,6,5,1.0859,0.713,2.2938,-0.5349,0.7242,-1.3967,0.0,0.0,3.1161548084137283,3.527440831361822,,,
77,2181 28713.000,2021-10-24 07:58:19,-33.95142356,18.468550236,80.3391,266064.2569591651,6240342.719752448,6,5,1.0732,0.7077,2.2665,-0.5282,0.7141,-1.3781,0.0,0.0,3.0785895211931065,3.4775453135399492,,,
78,2181 28714.000,2021-10-24 07:58:20,-33.951423828,18.468550551,80.4268,266064.28681003203,6240342.690745316,6,5,1.0608,0.7026,2.2398,-0.5216,0.7042,-1.3598,0.0,0.0,3.0418197974239036,3.3837759904493656,,,
79,2181 28715.000,2021-10-24 07:58:21,-33.951424087,18.468550552,80.5168,266064.2876117992,6240342.662019793,6,5,1.0486,0.6976,2.2136,-0.5152,0.6945,-1.3419,0.0,0.0,3.005776036234237,3.2894194939446746,,,
80,2181 28716.000,2021-10-24 07:58:22,-33.951424329,18.468550646,80.5644,266064.2969634212,6240342.635392138,6,5,1.0367,0.6926,2.1879,-0.5089,0.6849,-1.3243,0.0,0.0,2.9703847848384894,3.2352895369656016,,,
81,2181 28717.000,2021-10-24 07:58:23,-33.951424414,18.468550606,80.5834,266064.2934988317,6240342.625872798,6,5,1.0249,0.6878,2.1628,-0.5027,0.6756,-1.3071,0.0,0.0,2.9357870750447828,3.2143995100446356,,,
82,2181 28718.000,2021-10-24 07:58:24,-33.951424442,18.468550619,80.6138,266064.29477716505,6240342.622796761,6,5,1.0134,0.683,2.1381,-0.4966,0.6663,-1.2901,0.0,0.0,2.901700437674434,3.184669643359519,,,
83,2181 28719.000,2021-10-24 07:58:25,-33.951424749,18.468550503,80.677,266064.28489554836,6240342.588480131,6,5,1.0022,0.6784,2.1139,-0.4906,0.6573,-1.2735,0.0,0.0,2.868403477546351,3.1142670895134437,,,
84,2181 28720.000,2021-10-24 07:58:26,-33.951424807,18.468550493,80.7206,266064.28413004935,6240342.582024053,6,5,0.9911,0.6738,2.0901,-0.4848,0.6484,-1.2571,0.0,0.0,2.835587711568803,3.0710815479252913,,,
85,2181 28721.000,2021-10-24 07:58:27,-33.951424931,18.468550658,80.7529,266064.29972135456,6240342.568646789,6,5,0.9802,0.6693,2.0668,-0.479,0.6396,-1.2411,0.0,0.0,2.803439876294835,3.0354202317972434,,,
86,2181 28722.000,2021-10-24 07:58:28,-33.951425145,18.468550898,80.7942,266064.32249173743,6240342.545458062,6,5,0.9696,0.6649,2.0439,-0.4734,0.631,-1.2253,0.0,0.0,2.771889613602966,2.9877953211503736,,,
87,2181 28723.000,2021-10-24 07:58:29,-33.951425329,18.468550956,80.8346,266064.32835686894,6240342.525181495,6,5,0.9591,0.6605,2.0215,-0.4678,0.6226,-1.2098,0.0,0.0,2.7409266589969166,2.9427794496192066,,,
88,2181 28724.000,2021-10-24 07:58:30,-33.951425433,18.468550843,80.8611,266064.31819659215,6240342.513388101,6,5,0.9488,0.6563,1.9995,-0.4624,0.6143,-1.1946,0.0,0.0,2.710571672175447,2.9143441609922913,,,
89,2181 28725.000,2021-10-24 07:58:31,-33.951425513,18.468550716,80.8844,266064.3066765027,6240342.504224788,6,5,0.9388,0.6521,1.9779,-0.457,0.6061,-1.1797,0.0,0.0,2.680777230580713,2.889898744291853,,,
90,2181 28726.000,2021-10-24 07:58:32,-33.951425668,18.468550655,80.9141,266064.3014624989,6240342.48689325,6,5,0.9289,0.648,1.9567,-0.4518,0.5981,-1.165,0.0,0.0,2.6515101263242427,2.8564903768358256,,,
91,2181 28727.000,2021-10-24 07:58:33,-33.951425837,18.468550689,80.9326,266064.3050681199,6240342.468225677,6,5,0.9191,0.644,1.9359,-0.4466,0.5902,-1.1506,0.0,0.0,2.6227576289089316,2.832824419894269,,,
92,2181 28728.000,2021-10-24 07:58:34,-33.951426025,18.468550655,80.9734,266064.3024402273,6240342.447295461,6,5,0.9096,0.64,1.9155,-0.4416,0.5824,-1.1364,0.0,0.0,2.594555393511574,2.787683581284513,,,
93,2181 28729.000,2021-10-24 07:58:35,-33.951426141,18.468550784,81.0035,266064.31468197814,6240342.434723377,6,5,0.9002,0.6361,1.8954,-0.4366,0.5748,-1.1225,0.0,0.0,2.5668161718362303,2.754575512567937,,,
94,2181 28730.000,2021-10-24 07:58:36,-33.951426192,18.468550771,81.0132,266064.3136200042,6240342.429036879,6,5,0.891,0.6323,1.8757,-0.4317,0.5673,-1.1088,0.0,0.0,2.5395996534887146,2.7436421435842604,,,
95,2181 28731.000,2021-10-24 07:58:37,-33.951426347,18.46855091,81.0136,266064.3268929115,6240342.412161809,6,5,0.8819,0.6285,1.8564,-0.4269,0.5599,-1.0954,0.0,0.0,2.5128894921981746,2.7373773482154955,,,
96,2181 28732.000,2021-10-24 07:58:38,-33.951426566,18.468551202,81.0528,266064.3544835843,6240342.388537176,6,5,0.873,0.6248,1.8374,-0.4221,0.5526,-1.0821,0.0,0.0,2.486567590072709,2.6917490191982822,,,
97,2181 28733.000,2021-10-24 07:58:39,-33.951426578,18.468551302,81.0688,266064.36375990463,6240342.387434391,6,5,0.8643,0.6211,1.8188,-0.4175,0.5454,-1.0691,0.0,0.0,2.4608038036381528,2.6758805667551346,,,
98,2181 28734.000,2021-10-24 07:58:40,-33.951426763,18.468551502,81.1134,266064.38275348145,6240342.367371,6,5,0.8557,0.6175,1.8005,-0.4129,0.5384,-1.0563,0.0,0.0,2.435458817143086,2.6267593199292,,,
99,2181 28735.000,2021-10-24 07:58:41,-33.951426964,18.468551682,81.1559,266064.3999421872,6240342.345487269,6,5,0.8473,0.614,1.7825,-0.4084,0.5314,-1.0438,0.0,0.0,2.410583850439557,2.57925323246333,,,
100,2181 28736.000,2021-10-24 07:58:42,-33.951427112,18.468551809,81.1922,266064.4120867078,6240342.329361239,6,5,0.839,0.6105,1.7648,-0.404,0.5246,-1.0314,0.0,0.0,2.3860757343387067,2.539583756085788,,,
101,2181 28737.000,2021-10-24 07:58:43,-33.951427202,18.468551831,81.2187,266064.4143667539,6240342.319428816,6,5,0.8308,0.6071,1.7475,-0.3997,0.5179,-1.0192,0.0,0.0,2.3620551306013158,2.511294816362251,,,
102,2181 28738.000,2021-10-24 07:58:44,-33.951427269,18.468551916,81.2474,266064.42240718665,6240342.312191297,6,5,0.8228,0.6037,1.7304,-0.3954,0.5112,-1.0073,0.0,0.0,2.3383878164239564,2.4816511935478873,,,
103,2181 28739.000,2021-10-24 07:58:45,-33.951427431,18.468551905,81.2737,266064.42183408135,6240342.294197448,6,5,0.8149,0.6004,1.7137,-0.3912,0.5047,-0.9955,0.0,0.0,2.3151867397685226,2.4511821940792,,,
104,2181 28740.000,2021-10-24 07:58:46,-33.951427459,18.468551919,81.2678,266064.4232048494,6240342.291123691,6,5,0.8072,0.5972,1.6972,-0.3871,0.4983,-0.9839,0.0,0.0,2.2923603621594926,2.4558918038003834,,,
105,2181 28741.000,2021-10-24 07:58:47,-33.951427595,18.468552039,81.2883,266064.43466946366,6240342.276312702,6,5,0.7995,0.594,1.6811,-0.383,0.492,-0.9726,0.0,0.0,2.269986171764048,2.4318538686624005,,,
106,2181 28742.000,2021-10-24 07:58:48,-33.951427711,18.468552057,81.3037,266064.4366509791,6240342.263487276,6,5,0.792,0.5908,1.6652,-0.379,0.4857,-0.9614,0.0,0.0,2.2478957115489147,2.4133807373913982,,,
107,2181 28743.000,2021-10-24 07:58:49,-33.951427761,18.468552115,81.3306,266064.4421491199,6240342.258073744,6,5,0.7847,0.5877,1.6496,-0.3751,0.4796,-0.9503,0.0,0.0,2.2262326473214786,2.3860448750653678,,,
108,2181 28744.000,2021-10-24 07:58:50,-33.95142791,18.468552298,81.3291,266064.4594727142,6240342.241964607,6,5,0.7774,0.5846,1.6342,-0.3712,0.4735,-0.9395,0.0,0.0,2.2048513555339735,2.3828752364823,,,
109,2181 28745.000,2021-10-24 07:58:51,-33.951428165,18.468552374,81.375,266064.4671961175,6240342.213853931,6,5,0.7703,0.5816,1.6191,-0.3674,0.4675,-0.9288,0.0,0.0,2.1838758916202177,2.3309761487570833,,,
110,2181 28746.000,2021-10-24 07:58:52,-33.95142826,18.468552367,81.431,266064.4668092554,6240342.2033007275,6,5,0.7633,0.5786,1.6043,-0.3636,0.4617,-0.9183,0.0,0.0,2.1632914921480184,2.274255196866316,,,
111,2181 28747.000,2021-10-24 07:58:53,-33.951428437,18.468552399,81.4655,266064.4702519169,6240342.183741247,6,5,0.7564,0.5757,1.5897,-0.3599,0.4559,-0.9079,0.0,0.0,2.1429822141119135,2.2357059429041772,,,
112,2181 28748.000,2021-10-24 07:58:54,-33.951428665,18.468552488,81.5159,266064.4791030232,6240342.158655033,6,5,0.7496,0.5728,1.5754,-0.3563,0.4502,-0.8978,0.0,0.0,2.1231014412881923,2.180467676612093,,,
113,2181 28749.000,2021-10-24 07:58:55,-33.951428734,18.468552531,81.5544,266064.48326668143,6240342.151099822,6,5,0.7429,0.5699,1.5613,-0.3527,0.4445,-0.8877,0.0,0.0,2.103409836432263,2.141433588519382,,,
114,2181 28750.000,2021-10-24 07:58:56,-33.951428752,18.468552604,81.6027,266064.4900637012,6240342.149269905,6,5,0.7363,0.5671,1.5474,-0.3492,0.439,-0.8779,0.0,0.0,2.084120176477355,2.0946340833833093,,,
